id,distrito_id,codigo,barrio
1,1,01,Amón
2,1,02,Aranjuez
3,1,03,California (parte)
4,1,04,Carmen
5,1,05,Empalme
6,1,06,Escalante
7,1,07,Otoya.
8,2,01,Bajos de la Unión
9,2,02,Claret
10,2,03,Cocacola
11,2,04,Iglesias Flores
12,2,05,Mantica
13,2,06,México
14,2,07,Paso de la Vaca
15,2,08,Pitahaya.
16,3,01,Almendares
17,3,02,Ángeles
18,3,03,Bolívar
19,3,04,Carit
20,3,05,Colón (parte)
21,3,06,Corazón de Jesús
22,3,07,Cristo Rey
23,3,08,Cuba
24,3,09,Dolorosa (parte)
25,3,10,Merced
26,3,11,Pacífico (parte)
27,3,12,Pinos
28,3,13,Salubridad
29,3,14,San Bosco
30,3,15,San Francisco
31,3,16,Santa Lucía
32,3,17,Silos.
33,4,01,Bellavista
34,4,02,California (parte)
35,4,03,Carlos María Jiménez
36,4,04,Dolorosa (parte)
37,4,05,Dos Pinos
38,4,06,Francisco Peralta (parte)
39,4,07,González Lahmann
40,4,08,González Víquez
41,4,09,Güell
42,4,10,La Cruz
43,4,11,Lomas de Ocloro
44,4,12,Luján
45,4,13,Milflor
46,4,14,Naciones Unidas
47,4,15,Pacífico (parte)
48,4,16,San Cayetano (parte)
49,4,17,Soledad
50,4,18,Tabacalera
51,4,19,Vasconia.
52,5,01,Alborada
53,5,02,Calderón Muñoz
54,5,03,Cerrito
55,5,04,Córdoba
56,5,05,Gloria
57,5,06,Jardín
58,5,07,Luisas
59,5,08,Mangos
60,5,09,Montealegre
61,5,10,Moreno Cañas
62,5,11,Quesada Durán
63,5,12,San Dimas
64,5,13,San Gerardo (parte)
65,5,14,Trébol
66,5,15,Ujarrás
67,5,16,Vista Hermosa
68,5,17,Yoses Sur
69,5,18,Zapote (centro).
70,6,01,Ahogados (parte)
71,6,02,Bosque
72,6,03,Cabañas
73,6,04,Camelias
74,6,05,Coopeguaria
75,6,06,Faro
76,6,07,Fátima
77,6,08,Hispano
78,6,09,I Griega
79,6,10,Lincoln
80,6,11,Lomas de San Francisco
81,6,12,Maalot
82,6,13,Méndez
83,6,14,Pacífica
84,6,15,San Francisco de Dos Ríos (centro)
85,6,16,Sauces
86,6,17,Saucitos
87,6,18,Zurquí.
88,7,01,Alborada
89,7,02,Ánimas
90,7,03,Árboles
91,7,04,Bajos del Torres
92,7,05,Carranza
93,7,06,Corazón de Jesús
94,7,07,Cristal
95,7,08,Carvajal Castro
96,7,09,Jardines de Autopista
97,7,10,La Caja
98,7,11,La Carpio
99,7,12,Magnolia
100,7,13,Marimil
101,7,14,Monserrat
102,7,15,Peregrina
103,7,16,Robledal
104,7,17,Rossiter Carballo
105,7,18,Santander
106,7,19,Saturno
107,7,20,Uruca (centro)
108,7,21,Vuelta del Virilla.
109,8,01,Américas
110,8,02,Bajo Cañada (parte)
111,8,03,Balcón Verde
112,8,04,Colón (parte)
113,8,05,Del Pino
114,8,06,Holanda
115,8,07,La Luisa
116,8,08,La Salle
117,8,09,Lomalinda
118,8,10,Morenos
119,8,11,Niza
120,8,12,Rancho Luna
121,8,13,Rohrmoser (parte)
122,8,14,Roma
123,8,15,Sabana
124,8,16,Tovar.
125,9,01,Alfa
126,9,02,Asturias
127,9,03,Asunción
128,9,04,Bribrí
129,9,05,Favorita Norte
130,9,06,Favorita Sur
131,9,07,Galicia
132,9,08,Geroma
133,9,09,Hispania
134,9,10,Libertad
135,9,11,Lomas del Río
136,9,12,Llanos del Sol
137,9,13,María Reina
138,9,14,Metrópolis
139,9,15,Navarra
140,9,16,Pavas (centro)
141,9,17,Pueblo Nuevo
142,9,18,Residencial del Oeste
143,9,19,Rincón Grande
144,9,20,Rohrmoser (parte)
145,9,21,Rotonda
146,9,22,San Pedro
147,9,23,Santa Bárbara
148,9,24,Santa Catalina
149,9,25,Santa Fé
150,9,26,Triángulo
151,9,27,Villa Esperanza.
152,10,01,Bajo Cañada (parte)
153,10,02,Belgrano
154,10,03,Hatillo Centro
155,10,04,Hatillo 1
156,10,05,Hatillo 2
157,10,06,Hatillo 3
158,10,07,Hatillo 4
159,10,08,Hatillo 5
160,10,09,Hatillo 6
161,10,10,Hatillo 7
162,10,11,Hatillo 8
163,10,12,Quince de Setiembre
164,10,13,Sagrada Familia
165,10,14,Tiribí
166,10,15,Topacio
167,10,16,Veinticinco de Julio
168,10,17,Vivienda en Marcha.
169,11,01,Bengala
170,11,02,Bilbao
171,11,03,Cañada del Sur
172,11,04,Carmen
173,11,05,Cascajal
174,11,06,Cerro Azul
175,11,07,Colombari
176,11,08,Domingo Savio
177,11,09,Guacamaya
178,11,10,Jazmín
179,11,11,Hogar Propio
180,11,12,Kennedy
181,11,13,López Mateos
182,11,14,Luna Park
183,11,15,Martínez
184,11,16,Mojados
185,11,17,Mongito
186,11,18,Monte Azúl
187,11,19,Musmanni
188,11,20,Paso Ancho
189,11,21,Presidentes
190,11,22,San Cayetano (parte)
191,11,23,San Martín
192,11,24,San Sebastián (centro)
193,11,25,Santa Rosa
194,11,26,Seminario
195,11,27,Sorobarú.
196,12,01,Alto Carrizal
197,12,02,Carrizal (parte)
198,12,03,Faroles
199,12,04,Guapinol
200,12,05,Hulera
201,12,06,Itabas
202,12,07,Jaboncillo
203,12,08,Profesores (parte).
204,13,01,Avellana
205,13,02,Bebedero
206,13,03,Belo Horizonte (parte)
207,13,04,Carrizal (parte)
208,13,05,Curío
209,13,06,Chirca
210,13,07,Chiverral
211,13,08,Entierrillo
212,13,09,Filtros
213,13,10,Guayabos
214,13,11,Hojablanca
215,13,12,Juan Santana
216,13,13,Lajas
217,13,14,Masilla
218,13,15,Muta
219,13,16,Pedrero
220,13,17,Perú
221,13,18,Profesores (parte)
222,13,19,Sabanillas
223,13,20,Salitrillos
224,13,21,Santa Eduvigis
225,13,22,Santa Teresa
226,13,23,Tejarcillos
227,13,24,Torrotillo
228,13,25,Vista de Oro.
229,14,01,Anonos
230,14,02,Ayala
231,14,03,Bajo Anonos
232,14,04,Bajo Palomas
233,14,05,Belo Horizonte (parte)
234,14,06,Betina
235,14,07,Ceiba
236,14,08,Facio Castro
237,14,09,Guachipelín
238,14,10,Herrera
239,14,11,Laureles
240,14,12,León
241,14,13,Loma Real
242,14,14,Matapalo
243,14,15,Maynard
244,14,16,Mirador
245,14,17,Miravalles
246,14,18,Palermo
247,14,19,Palma de Mallorca
248,14,20,Pinar
249,14,21,Primavera
250,14,22,Quesada
251,14,23,Real de Pereira (parte)
252,14,24,Santa Marta
253,14,25,Tena
254,14,26,Trejos Montealegre
255,14,27,Vista Alegre.
256,15,01,Altamira
257,15,02,Bellavista
258,15,03,Calle Fallas
259,15,04,Camaquirí
260,15,05,Capilla
261,15,06,Centro de Amigos
262,15,07,Cerámica
263,15,08,Colonia del Sur
264,15,09,Contadores
265,15,10,Cruce
