id,canton_id,codigo,distrito
1,01,1,CARMEN
2,01,2,MERCED
3,01,3,HOSPITAL
4,01,4,CATEDRAL
5,01,5,ZAPOTE
6,01,6,SAN FRANCISCO DE DOS RÍOS
7,01,7,URUCA
8,01,8,MATA REDONDA
9,01,9,PAVAS
10,01,10,HATILLO
11,01,11,SAN SEBASTIÁN
12,02,1,ESCAZÚ
13,02,2,SAN ANTONIO
14,02,3,SAN RAFAEL
15,03,1,DESAMPARADOS
16,03,2,SAN MIGUEL
17,03,3,SAN JUAN DE DIOS
18,03,4,SAN RAFAEL ARRIBA
19,03,5,SAN ANTONIO
20,03,6,FRAILES
21,03,7,PATARRÁ
22,03,8,SAN CRISTÓBAL
23,03,9,ROSARIO
24,03,10,DAMAS
25,03,11,SAN RAFAEL ABAJO
26,03,12,GRAVILIAS
27,03,13,LOS GUIDO
28,04,1,SANTIAGO
29,04,2,MERCEDES SUR
30,04,3,BARBACOAS
31,04,4,GRIFO ALTO
32,04,5,SAN RAFAEL
33,04,6,CANDELARITA
34,04,7,DESAMPARADITOS
35,04,8,SAN ANTONIO
36,04,9,CHIRES
37,05,1,SAN MARCOS
38,05,2,SAN LORENZO
39,05,3,SAN CARLOS
40,06,1,ASERRI
41,06,2,TARBACA
42,06,3,VUELTA DE JORCO
43,06,4,SAN GABRIEL
44,06,5,LEGUA
45,06,6,MONTERREY
46,06,7,SALITRILLOS
47,07,1,COLÓN
48,07,2,GUAYABO
49,07,3,TABARCIA
50,07,4,PIEDRAS NEGRAS
51,07,5,PICAGRES
52,07,6,JARIS
53,07,7,QUITIRRISI
54,08,1,GUADALUPE
55,08,2,SAN FRANCISCO
56,08,3,CALLE BLANCOS
57,08,4,MATA DE PLÁTANO
58,08,5,IPÍS
59,08,6,RANCHO REDONDO
60,08,7,PURRAL
61,09,1,SANTA ANA
62,09,2,SALITRAL
63,09,3,POZOS
64,09,4,URUCA
65,09,5,PIEDADES
66,09,6,BRASIL
67,10,1,ALAJUELITA
68,10,2,SAN JOSECITO
69,10,3,SAN ANTONIO
70,10,4,CONCEPCIÓN
71,10,5,SAN FELIPE
72,11,1,SAN ISIDRO
73,11,2,SAN RAFAEL
74,11,3,DULCE NOMBRE DE JESÚS
75,11,4,PATALILLO
76,11,5,CASCAJAL
77,12,1,SAN IGNACIO
78,12,2,GUAITIL Villa
79,12,3,PALMICHAL
80,12,4,CANGREJAL
81,12,5,SABANILLAS
82,13,1,SAN JUAN
83,13,2,CINCO ESQUINAS
84,13,3,ANSELMO LLORENTE
85,13,4,LEON XIII
86,13,5,COLIMA
87,14,1,SAN VICENTE
88,14,2,SAN JERÓNIMO
89,14,3,LA TRINIDAD
90,15,1,SAN PEDRO
91,15,2,SABANILLA
92,15,3,MERCEDES
93,15,4,SAN RAFAEL
94,16,1,SAN PABLO
95,16,2,SAN PEDRO
96,16,3,SAN JUAN DE MATA
97,16,4,SAN LUIS
98,16,5,CARARA
99,17,1,SANTA MARÍA
100,17,2,JARDÍN
101,17,3,COPEY
102,18,1,CURRIDABAT
103,18,2,GRANADILLA
104,18,3,SÁNCHEZ
105,18,4,TIRRASES
106,19,1,SAN ISIDRO DE EL GENERAL
107,19,2,EL GENERAL
108,19,3,DANIEL FLORES
109,19,4,RIVAS
110,19,5,SAN PEDRO
111,19,6,PLATANARES
112,19,7,PEJIBAYE
113,19,8,CAJÓN
114,19,9,BARÚ
115,19,10,RÍO NUEVO
116,19,11,PÁRAMO
117,20,1,SAN PABLO
118,20,2,SAN ANDRÉS
119,20,3,LLANO BONITO
120,20,4,SAN ISIDRO
121,20,5,SANTA CRUZ
122,20,6,SAN ANTONIO
123,21,1,ALAJUELA
124,21,2,SAN JOSÉ
125,21,3,CARRIZAL
126,21,4,SAN ANTONIO
127,21,5,GUÁCIMA
128,21,6,SAN ISIDRO
129,21,7,SABANILLA
130,21,8,SAN RAFAEL
131,21,9,RÍO SEGUNDO
132,21,10,DESAMPARADOS
133,21,11,TURRÚCARES
134,21,12,TAMBOR
135,21,13,GARITA
136,21,14,SARAPIQUÍ
137,22,1,SAN RAMÓN
138,22,2,SANTIAGO
139,22,3,SAN JUAN
140,22,4,PIEDADES NORTE
141,22,5,PIEDADES SUR
142,22,6,SAN RAFAEL
143,22,7,SAN ISIDRO
144,22,8,ÁNGELES
145,22,9,ALFARO
146,22,10,VOLIO
